f0, f1, 
0.999144, 0.283213, 
0.999892, 0.307728, 
1.44792e-06, 1.82401, 
6.18148e-06, 2.05693, 
0.590818, 0.557724, 
0.711927, 0.504271, 
0.694322, 0.524485, 
0.184569, 0.981799, 
0.118048, 1.09457, 
0.00047366, 1.90582, 
0.276267, 0.978864, 
0.182739, 1.05939, 
0.80565, 0.460767, 
0.0312801, 1.31315, 
9.32033e-05, 1.66232, 
0.309088, 0.862949, 
0.0653825, 1.24707, 
0.805771, 0.456816, 
0.00293101, 1.51867, 
0.501845, 0.722153, 
0.279191, 0.91438, 
0.559569, 0.61583, 
0.442381, 0.737929, 
0.872176, 0.520631, 
0.0243851, 1.39877, 
0.0869127, 1.16749, 
0.909204, 0.345569, 
0.370489, 0.807015, 
0.934549, 0.396516, 
0.0986544, 1.1515, 
0.537979, 0.676034, 
0.0234664, 1.47447, 
0.001085, 1.597, 
0.872941, 0.414932, 
0.532105, 0.652151, 
0.41298, 0.851215, 
0.413178, 0.803828, 
0.467781, 0.821092, 
0.942396, 0.331442, 
0.0263581, 1.44452, 
0.379492, 0.853058, 
0.0869156, 1.2582, 
0.471689, 0.722474, 
0.558702, 0.647409, 
0.965814, 0.313002, 
0.898454, 0.459498, 
0.468277, 0.768621, 
0.000975114, 1.62273, 
0.967774, 0.304531, 
0.278426, 0.884471, 
