f0, f1, 
0.856522, -0.414022, 
6.19121e-05, 2.21658, 
0.65519, -0.0128583, 
0.623941, 0.339303, 
0.825089, -0.0572823, 
0.455155, 0.355136, 
0.245034, 0.703414, 
0.107377, 1.23322, 
0.633866, 0.0579797, 
0.169906, 1.18522, 
0.633712, 0.318381, 
6.19121e-05, 2.03676, 
0.419845, 0.57245, 
0.237222, 0.739262, 
0.000405235, 1.80591, 
0.0292138, 1.42201, 
0.0440225, 1.33821, 
0.000870774, 1.64812, 
0.00187595, 1.70181, 
0.430747, 0.474536, 
0.190353, 1.07525, 
0.188559, 1.15286, 
0.204185, 0.94595, 
0.0184716, 1.43779, 
0.00203617, 1.50636, 
0.825278, -0.142778, 
0.00105389, 1.78257, 
0.451095, 0.364861, 
0.444236, 0.424462, 
0.639571, 0.00835154, 
0.844766, -0.408947, 
0.647507, 0.00561912, 
0.440353, 0.433158, 
0.243241, 0.710282, 
0.190346, 1.08513, 
0.852339, -0.219133, 
0.143478, 1.20186, 
0.419845, 0.581963, 
0.448288, 0.38853, 
0.830001, -0.20797, 
6.19121e-05, 2.1686, 
0.854287, -0.246853, 
0.00203625, 1.44208, 
0.823165, 0.0180538, 
0.251054, 0.690983, 
0.231528, 0.814239, 
0.176658, 1.21776, 
0.858194, -0.355819, 
0.858321, -0.234041, 
0.00091465, 2.22409, 
