f0, f1, 
1, 8.89692, 
1, 8.89711, 
0.280775, 9.1293, 
0.280775, 9.07918, 
0.280775, 9.10455, 
0.280775, 9.03524, 
0.610329, 8.9658, 
0.554329, 8.97349, 
0.280775, 9.01293, 
0.864583, 8.92567, 
0.476039, 8.98268, 
0.280775, 9.03035, 
0.36258, 8.99038, 
0.627449, 8.96391, 
0.661286, 8.96234, 
0.418509, 8.99031, 
0.81786, 8.93309, 
0.898175, 8.92791, 
0.668694, 8.95769, 
0.967444, 8.90607, 
0.527519, 8.97789, 
0.323494, 8.99794, 
0.516527, 8.98106, 
0.948995, 8.92074, 
0.722901, 8.953, 
0.772329, 8.94045, 
0.280775, 9.00115, 
0.292431, 8.99928, 
0.978874, 8.90116, 
0.54681, 8.97462, 
0.359716, 8.99539, 
0.447636, 8.98451, 
0.453493, 8.98671, 
0.69171, 8.95552, 
0.925573, 8.91244, 
0.800812, 8.93589, 
0.78421, 8.94741, 
0.907759, 8.91739, 
0.33208, 8.99898, 
0.915963, 8.91551, 
0.765834, 8.94598, 
0.845423, 8.92912, 
0.935649, 8.91023, 
0.743263, 8.94921, 
0.707203, 8.95354, 
0.421671, 8.98999, 
0.75883, 8.94827, 
0.991529, 8.89993, 
0.697966, 8.95472, 
0.810419, 8.95062, 
