f0, f1, 
4.70849e-13, 28.4231, 
8.22014e-13, 23.8334, 
1.37776e-10, 9.9833, 
2.64241e-14, 35.8465, 
0.499519, 6.159, 
4.5694e-13, 49.337, 
8.78877e-13, 15.1267, 
8.79737e-13, 19.5448, 
8.93723e-13, 18.6991, 
9.07805e-13, 15.4846, 
8.22014e-13, 24.1249, 
8.68635e-13, 27.2401, 
0.999626, 5.21275, 
0.999763, 4.86482, 
0.499992, 5.26899, 
1, 5.33024, 
0.992676, 5.91006, 
2.61453e-10, 8.56331, 
4.80976e-13, 33.3088, 
1, 5.97238, 
1.73715e-10, 10.521, 
8.22014e-13, 30.9402, 
2.82205e-11, 13.3768, 
2.31937e-10, 11.098, 
7.98027e-13, 36.8903, 
8.22458e-13, 41.2729, 
8.68642e-13, 32.2846, 
8.36224e-13, 36.0999, 
2.31937e-10, 12.7597, 
8.78877e-13, 20.9068, 
8.36224e-13, 36.4163, 
0.499996, 6.11293, 
5.72995e-11, 13.2443, 
1.1725e-10, 19.9611, 
2.62817e-10, 6.53079, 
2.61052e-10, 11.7322, 
2.31947e-10, 16.9966, 
0.5, 6.30172, 
0.992645, 6.07068, 
0.500481, 6.2501, 
1, 6.25406, 
8.82407e-13, 21.9906, 
8.83288e-13, 24.1563, 
0.000480652, 14.6237, 
3.59366e-09, 8.71519, 
7.39157e-06, 19.3419, 
0.750458, 6.37495, 
0.867646, 6.38674, 
0.249993, 6.76716, 
0.125, 7.66702, 
